game_date,team_abbr,team_points,team_rebounds,team_assists,rest_days,avg_plus_minus,win_loss,rolling_avg,residual
2023-02-24,SAC,176.0,43.0,33.0,1,0.5,W,124.7,51.3
2021-01-20,CLE,147.0,50.0,29.0,5,7.5,W,98.7,48.3
2019-03-01,CHI,168.0,62.0,30.0,2,3.5,W,121.8,46.2
2022-01-26,CHA,158.0,36.0,37.0,1,13.333333333333334,W,112.6,45.400000000000006
2021-11-27,HOU,146.0,41.0,36.0,3,1.5,W,103.6,42.400000000000006
2019-10-30,WAS,158.0,40.0,31.0,4,-0.5555555555555556,L,116.6,41.400000000000006
2019-03-01,ATL,161.0,59.0,33.0,2,-3.1818181818181817,L,119.7,41.3
2022-04-01,LAC,153.0,36.0,34.0,1,21.25,W,113.1,39.900000000000006
2019-01-10,SAS,154.0,43.0,38.0,1,3.5,W,114.5,39.5
2020-01-26,ATL,152.0,48.0,30.0,2,7.916666666666667,W,113.1,38.900000000000006
